,symbol,ticker
809,KIRIINDUS,16639
810,KIRLFER,14466
811,KIRLOSBROS,18581
812,KIRLOSENG,20936
813,KIRLOSIND,19025
814,KITEX,28899
815,KKCL,13381
816,KMSUGAR,14667
817,KNRCON,15283
818,KOKUYOCMLN,16827
819,KOLTEPATIL,15124
820,KOPRAN,1919
821,KOTAKBANK,1922
822,KOTARISUG,11647
823,KOTHARIPET,4594
824,KOTHARIPRO,5528
825,KPITTECH,9683
826,KPRMILL,14912
827,KRBL,10577
828,KREBSBIO,1937
829,KRIDHANINF,11480
830,KRISHANA,12847
831,KSB,1949
832,KSCL,14972
833,KSL,18889
834,KTKBANK,8054
835,KUANTUM,13870
836,KWALITY,17897
837,L&TFH,24948
838,LAKPRE,4774
839,LALPATHLAB,11654
840,LAMBODHARA,6407
841,LAOPALA,14423
842,LASA,21713
843,LAURUSLABS,19234
844,LAXMIMACH,1979
845,LEMONTREE,2606
846,LFIC,7902
847,LGBBROSLTD,18321
848,LGBFORGE,16845
849,LIBAS,11083
850,LIBERTSHOE,1994
851,LICHSGFIN,1997
852,LIKHITHA,578
853,LINCOLN,11596
854,LINCPEN,6951
855,LINDEINDIA,1627
856,LOKESHMACH,13439
857,LOTUSEYE,16807
858,LOVABLE,22415
859,LPDC,16867
860,LSIL,17801
861,LT,11483
862,LTI,17818
863,LTTS,18564
864,LUMAXIND,2018
865,LUMAXTECH,14014
866,LUPIN,10440
867,LUXIND,11301
868,LYKALABS,7248
869,LYPSAGEMS,31468
870,M&M,2031
871,M&MFIN,13285
872,MAANALU,15017
873,MACPOWER,22349
874,MADHAV,15151
875,MADHUCON,13671
876,MADRASFERT,6512
877,MAGADSUGAR,21392
878,MAGMA,11403
879,MAGNUM,14957
880,MAHABANK,11377
881,MAHAPEXLTD,8679
882,MAHASTEEL,17527
883,MAHEPC,17603
884,MAHESHWARI,9576
885,MAHINDCIE,14937
886,MAHLIFE,8050
887,MAHLOG,385
888,MAHSCOOTER,2085
889,MAHSEAMLES,2088
890,MAITHANALL,24538
891,MAJESCO,10314
892,MALUPAPER,13352
893,MANAKALUCO,7420
894,MANAKCOAT,7413
895,MANAKSIA,15199
896,MANAKSTEEL,7463
897,MANALIPETC,13796
898,MANAPPURAM,19061
899,MANGALAM,11817
900,MANGCHEFER,15007
901,MANGLMCEM,2106
902,MANGTIMBER,2109
903,MANINDS,11884
904,MANINFRA,18226
905,MANUGRAPH,13572
906,MARALOVER,7040
907,MARATHON,18659
908,MARICO,4067
909,MARINE,1328
910,MARKSANS,10579
911,MARUTI,10999
912,MASFIN,199
913,MASKINVEST,18731
914,MASTEK,2124
915,MATRIMONY,21726
916,MAWANASUG,17022
917,MAXHEALTH,22377
918,MAXIND,22428
919,MAXVIL,17468
920,MAYURUNIQ,28906
921,MAZDA,18866
922,MAZDOCK,509
923,MBAPL,12705
924,MBECL,13687
925,MBLINFRA,18029
926,MCDHOLDING,14662
927,MCDOWELL-N,10447
928,MCL,22360
929,MCLEODRUSS,11943
930,MCX,31181
931,MEGASOFT,14793
932,MEGH,14750
933,MELSTAR,17950
934,MENONBE,6961
935,MEP,8771
936,MERCATOR,11879
937,METALFORGE,52
938,METKORE,10996
939,METROPOLIS,9581
940,MFSL,2142
941,MGEL,1593
942,MGL,17534
943,MHRIL,17333
944,MIC,16921
945,MIDHANI,2463
946,MINDACORP,25897
947,MINDAIND,14154
948,MINDTECK,18049
949,MINDTREE,14356
950,MIRCELECTR,2202
951,MIRZAINT,4394
952,MITTAL,18562
953,MMFL,13844
954,MMP,16395
955,MMTC,17957
956,MODIRUBBER,6934
957,MOHITIND,29423
958,MOHOTAIND,10373
959,MOIL,20830
960,MOLDTECH,17625
961,MOLDTKPAC,6713
962,MONTECARLO,5938
963,MORARJEE,28877
964,MOREPENLAB,2259
965,MOTHERSUMI,4204
966,MOTILALOFS,14947
967,MOTOGENFIN,2268
968,MPHASIS,4503
969,MPSLTD,10578
970,MRF,2277
971,MRO-TEK,8998
972,MRPL,2283
973,MSPL,11919
974,MSTCLTD,9356
975,MTEDUCARE,31409
976,MTNL,2294
977,MUKANDENGG,8343
978,MUKANDLTD,11325
979,MUKTAARTS,8687
980,MUNJALAU,13511
981,MUNJALSHOW,2307
982,MURUDCERA,2313
983,MUTHOOTCAP,10415
984,MUTHOOTFIN,23650
985,NACLIND,20425
986,NAGAFERT,17295
987,NAGREEKCAP,14942
988,NAGREEKEXP,14702
989,NAHARCAP,15360
990,NAHARINDUS,13106
991,NAHARPOLY,14445
992,NAHARSPING,14440
993,NAM-INDIA,357
994,NATCOPHARM,3918
995,NATHBIOGEN,11065
